stock_symbol,stock_name,stock_industry,stock_market_cap,stock_risk_level,opinion,stock_ticker_url
AMFL,A & M Febcon Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/a-and-m-febcon-AMF?checklist=basic
ABINFRA,A B Infrabuild Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/a-b-infrabuild-ABIN?checklist=basic
AFEL,A F Enterprises Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/a-f-enterprises-AFE?checklist=basic
AINFRA,A Infrastructure Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/a-infrastructure-AIN?checklist=basic
AKCAPIT,A K Capital Services Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/akcapital-services-AKC?checklist=basic
AMJUMBO,A and M Jumbo Bags Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/a-and-m-jumbo-bags-AMJU?checklist=basic
AAL,A-1 Acid Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/a-1-acid-AAL?checklist=basic
A2ZINFRA,A2z Infra Engineering Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/a2z-infra-engineering-A2ZI?checklist=basic
AAATECH,AAA Technologies Ltd,Information Technology,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/aaa-technologies-AAA?checklist=basic
AARCOM,AAR Commercial Co Ltd,Financials,nocap,Low Risk,bad,https://www.tickertape.in/stocks/aar-commercial-company-AARC?checklist=basic
AARSHYAM,AAR Shyam India Investment Company Ltd,Financials,nocap,Low Risk,bad,https://www.tickertape.in/stocks/aar-shyam-india-investment-company-AARS?checklist=basic
AARVINFRA,AARV Infratel Ltd,N/A,nocap,Low Risk,bad,https://www.tickertape.in/stocks/aarv-infratel-AARV?checklist=basic
ABB,ABB India Ltd,Industrials,Midcap,Low Risk,bad,https://www.tickertape.in/stocks/abb-india-ABB?checklist=basic
POWERINDIA,ABB Power Products and Systems India Ltd,Industrials,Smallcap,Low Risk,good,https://www.tickertape.in/stocks/abb-power-products-and-systems-india-ABBW?checklist=basic
ABCGAS,ABC Gas (International) Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/abc-gas-international-ABCG?checklist=basic
ABCINDQ,ABC India Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/abc-india-ABC?checklist=basic
ABGSHIP,ABG Shipyard Ltd,Industrials,nocap,High Risk,bad,https://www.tickertape.in/stocks/abg-shipyard-ABGS?checklist=basic
ABMKNO,ABM Knowledgeware Ltd,Information Technology,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/abm-knowledgeware-ABM?checklist=basic
ACC,ACC Ltd,Materials,Midcap,Low Risk,good,https://www.tickertape.in/stocks/acc-ACC?checklist=basic
ACESOFT,ACE Software Exports Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/ace-software-exports-ACES?checklist=basic
ACIIN,ACI Infocom Ltd,Information Technology,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/aci-infocom-ACII?checklist=basic
ADMANUM,AD- Manum Finance Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/ad-manum-finance-ADM?checklist=basic
ADCINDIA,ADC India Communications Ltd,Information Technology,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/adc-india-communications-KRO?checklist=basic
ADFFOODS,ADF Foods Ltd,Consumer Staples,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/adf-foods-AMRN?checklist=basic
AGCNET,AGC Networks Ltd,Information Technology,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/agc-networks-AGCN?checklist=basic
AGIIL,AGI Infra Ltd,Real Estate,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/agi-infra-AGI?checklist=basic
AIAENG,AIA Engineering Ltd,Industrials,Midcap,Low Risk,bad,https://www.tickertape.in/stocks/aia-engineering-AIAE?checklist=basic
AKSPINTEX,AK Spintex Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/a-k-spintex-AKSP?checklist=basic
AKG,AKG Exim Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/akg-exim-AKGE?checklist=basic
AKI,AKI India Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/aki-india-AKI?checklist=basic
AKM,AKM Lace and Embrotex Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/akm-lace-and-embrotex-AKM?checklist=basic
