stock_symbol,stock_name,stock_industry,stock_market_cap,stock_risk_level,opinion
1STCUS,First Custodian Fund (India) Ltd,Financials,Smallcap,Low Risk,bad
20MICRONS,20 Microns Ltd,Materials,Smallcap,Moderate Risk,bad
21STCENMGM,Twentyfirst Century Management Services Ltd,Financials,Smallcap,Low Risk,bad
3IINFOTECH,3i Infotech Ltd,Information Technology,Smallcap,High Risk,bad
3PLAND,3P Land Holdings Ltd,Real Estate,Smallcap,Moderate Risk,bad
4THGEN,Fourth Generation Information Systems Ltd,Information Technology,Smallcap,Low Risk,bad
5PAISA,5Paisa Capital Ltd,Financials,Smallcap,Moderate Risk,bad
63MOONS,63 Moons Technologies Ltd,Information Technology,Smallcap,Moderate Risk,bad
7NR,7NR Retail Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
7TEC,Saven Technologies Ltd,Information Technology,Smallcap,High Risk,bad
A2ZINFRA,A2z Infra Engineering Ltd,Industrials,Smallcap,Moderate Risk,bad
AAATECH,AAA Technologies Ltd,Information Technology,Smallcap,Low Risk,bad
AAIL,Akar Auto Industries Ltd,Consumer Discretionary,Smallcap,High Risk,bad
AAKASH,Aakash Exploration Services Ltd,Energy,Smallcap,Moderate Risk,bad
AAL,A-1 Acid Ltd,Materials,Smallcap,Moderate Risk,bad
AANANDALAK,Aananda Lakshmi Spinning Mills Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
AANCHALISP,Aanchal Ispat Ltd,Materials,Smallcap,Moderate Risk,bad
AARNAV,Aarnav Fashions Ltd,Financials,Smallcap,Moderate Risk,bad
AARON,Aaron Industries Ltd,Industrials,Smallcap,High Risk,bad
AARTECH,Aartech Solonics Ltd,Industrials,Smallcap,Low Risk,bad
AARTISURF,Aarti Surfactants Ltd,Materials,Smallcap,High Risk,bad
AARVEEDEN,Aarvee Denims and Exports Ltd,Consumer Discretionary,Smallcap,High Risk,bad
AARVI,Aarvi Encon Ltd,Information Technology,Smallcap,High Risk,bad
AAVAS,Aavas Financiers Ltd,Financials,Midcap,Moderate Risk,bad
ABAN,Aban Offshore Ltd,Energy,Smallcap,Moderate Risk,bad
ABANSENT,Abans Enterprises Ltd,Industrials,Smallcap,Moderate Risk,bad
ABB,ABB India Ltd,Industrials,Midcap,Low Risk,bad
ABCGAS,ABC Gas (International) Ltd,Materials,Smallcap,Moderate Risk,bad
ABCINDQ,ABC India Ltd,Industrials,Smallcap,Moderate Risk,bad
ABHICAP,Abhinav Capital Services Ltd,Financials,Smallcap,Moderate Risk,bad
ABHIFIN,Abhishek Finlease Ltd,Financials,Smallcap,Low Risk,bad
ABHIINFRA,Abhishek Infraventures Ltd,Industrials,Smallcap,Moderate Risk,bad
ABINFRA,A B Infrabuild Ltd,Industrials,Smallcap,High Risk,bad
ABIRAFN,Abirami Financial Services (India) Ltd,Financials,Smallcap,Low Risk,bad
ABMINTLTD,Abm International Ltd,Materials,Smallcap,High Risk,bad
ABMKNO,ABM Knowledgeware Ltd,Information Technology,Smallcap,High Risk,bad
ABVL,Arunjyoti Bio Ventures Ltd,Industrials,Smallcap,Low Risk,bad
ACCEL,Accel Ltd,Communication Services,Smallcap,High Risk,bad
ACCELYA,Accelya Solutions India Ltd,Information Technology,Smallcap,Low Risk,bad
ACCORD,Accord Synergy Ltd,Communication Services,Smallcap,High Risk,bad
ACCURACY,Accuracy Shipping Ltd,Industrials,Smallcap,Moderate Risk,bad
ACEINTEG,Ace Integrated Solutions Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
ACEMEN,Ace men engg works Ltd,Financials,Smallcap,Low Risk,bad
ACFSL,Amrapali Capital and Finance Services Ltd,Financials,Smallcap,Moderate Risk,bad
ACGL,Automobile Corp Of Goa Ltd,Industrials,Smallcap,Moderate Risk,bad
ACIIN,ACI Infocom Ltd,Information Technology,Smallcap,Moderate Risk,bad
ACKNIT,Acknit Industries Ltd,Consumer Discretionary,Smallcap,High Risk,bad
ACME,Acme Resources Ltd,Financials,Smallcap,Moderate Risk,bad
ACML,Aditya Consumer Marketing Ltd,Consumer Discretionary,Smallcap,High Risk,bad
ACROW,Acrow India Ltd,Industrials,Smallcap,High Risk,bad
ACRYSIL,Acrysil Ltd,Industrials,Smallcap,Moderate Risk,bad
ACTIVE,Active Clothing Co Ltd,Consumer Discretionary,Smallcap,High Risk,bad
ADANIENT,Adani Enterprises Ltd,Industrials,Largecap,Moderate Risk,bad
ADANIGREEN,Adani Green Energy Ltd,Utilities,Largecap,Moderate Risk,bad
ADANIPOWER,Adani Power Ltd,Utilities,Midcap,Moderate Risk,bad
ADANITRANS,Adani Transmission Ltd,Utilities,Largecap,Moderate Risk,bad
ADARSH,Adarsh Mercantile Ltd,Industrials,Smallcap,Low Risk,bad
ADARSHPL,Adarsh Plant Protect Ltd,Industrials,Smallcap,Moderate Risk,bad
ADCINDIA,ADC India Communications Ltd,Information Technology,Smallcap,Moderate Risk,bad
ADCON,Adcon Capital Services Ltd,Financials,Smallcap,Low Risk,bad
ADFFOODS,ADF Foods Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
ADHUNIKIND,Adhunik Industries Ltd,Materials,Smallcap,High Risk,bad
ADIEXRE,Adinath Exim Resources Ltd,Financials,Smallcap,Moderate Risk,bad
ADINATH,Adinath Textiles Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ADITRI,Aditri Industries Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ADITYA,Aditya Ispat Ltd,Materials,Smallcap,Moderate Risk,bad
ADL,Archidply Decor Ltd,Materials,Smallcap,Moderate Risk,bad
ADMANUM,AD- Manum Finance Ltd,Financials,Smallcap,Moderate Risk,bad
ADORFO,Ador Fontech Ltd,Industrials,Smallcap,Moderate Risk,bad
ADORMUL,Ador Multi Products Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
ADORWELD,Ador Welding Ltd,Industrials,Smallcap,Moderate Risk,bad
ADROITINFO,Adroit Infotech Ltd,Information Technology,Smallcap,Moderate Risk,bad
ADSL,Allied Digital Services Ltd,Information Technology,Smallcap,Moderate Risk,bad
